order_id,stu_account,date,stu_address,phone_number,order_amount,in_delivery
o81271550,t10010784,2020/10/1,19689,77943459,3,T
o15600976,t10005179,2021/2/23,17948,61506953,4,T
o24339791,t10007949,2021/8/7,94220,15018353,5,T
o36000766,t10008248,2021/1/1,10449,15337916,1,F
o77660315,t10011676,2020/5/16,35759,98261112,9,T
o88515089,t10007423,2020/2/13,48777,15930085,8,F
o25409550,t10011415,2019/11/28,21658,77172234,4,T
o34895642,t10009903,2021/3/24,80249,97688763,2,T
o28911235,t10006692,2020/8/25,92772,62093870,2,T
o14799219,t10011719,2020/4/27,94712,35720298,3,T
o12007333,t10007554,2020/4/6,39434,11180571,8,T
o76349256,t10005777,2020/1/8,98600,61118586,2,F
o72667596,t10010110,2021/5/24,77867,29760326,4,T
o29095348,t10007042,2020/1/5,33183,25022482,5,F
o81667062,t10009349,2020/12/9,16216,41024527,3,T
o87502824,t10009624,2019/12/12,47757,66455605,6,F
o15385144,t10010321,2021/4/3,82092,55402857,6,T
o22294204,t10009750,2021/7/9,15805,15112308,7,T
o61151496,t10009179,2020/8/23,16162,15256992,3,T
o52766242,t10009766,2019/12/5,38687,13694618,6,T
o29973280,t10006036,2020/3/7,91093,47595032,7,T
o92386838,t10010442,2020/4/9,14198,94867373,4,T
o27689883,t10006574,2020/5/12,80003,56134762,4,T
o11162566,t10007974,2020/9/7,49296,15288811,2,T
o77695934,t10008549,2020/1/2,95586,34712092,2,F
o48831283,t10004981,2020/6/3,89836,29483026,10,T
o61031830,t10000108,2020/3/29,31674,67882996,3,F
o29692877,t10011016,2021/8/30,26487,81815021,4,T
o49907827,t10000381,2021/7/16,55538,93295926,4,T
o96975838,t10006826,2020/12/10,22644,96323117,5,F
o96095091,t10000053,2021/7/11,58470,89846867,9,T
o14494556,t10004908,2021/10/12,39570,36687117,9,T
o98201961,t10001403,2021/12/6,94707,75087211,4,T
o78833760,t10006392,2021/9/9,11777,99956005,4,T
o28563820,t10009781,2020/3/19,40399,49663390,10,T
o38743547,t10000300,2021/11/12,95808,96787941,6,T
o29675653,t10007786,2020/1/11,96807,34553757,2,T
o18792392,t10008960,2019/11/10,56067,24655132,8,F
o90611016,t10004704,2020/5/15,28255,54390316,6,T
o31222790,t10010464,2020/11/7,23901,87007013,1,F
o48834533,t10008467,2020/10/5,11008,92886916,6,F
o88018852,t10008305,2020/3/31,78736,34632469,2,T
o26791971,t10010662,2020/8/15,25149,18522572,4,T
o82424912,t10006871,2021/10/1,51614,21204471,8,F
o34804456,t10000946,2021/9/11,47244,53675576,3,T
o85869326,t10006277,2021/9/9,98482,39466031,9,F
o87569829,t10003086,2020/11/1,92643,38397096,9,T
o12221772,t10008066,2020/10/16,38917,87941964,5,F
o45117812,t10008848,2021/4/15,27764,86490204,9,F
o51127341,t10007283,2020/5/24,35912,72122331,3,T
o52286859,t10000288,2020/6/16,64026,67219222,3,F
o64023099,t10002775,2021/8/2,92756,14415682,8,T
o39379395,t10006544,2021/2/4,10385,15587434,10,F
o29252619,t10012368,2021/5/14,40418,81056087,2,F
o32792640,t10002431,2020/6/1,30749,22942697,4,F
o22713139,t10010999,2020/2/17,28357,36005888,5,T
o56170200,t10005775,2020/12/31,63889,99203367,9,T
o90410163,t10005891,2020/4/29,48302,99576799,5,F
o91184087,t10009317,2020/3/26,48436,53130866,3,T
o57376872,t10005957,2021/1/4,67000,94912845,2,T
o85039298,t10007809,2020/11/15,49590,73076351,10,T
o63890193,t10001245,2021/11/11,39777,79401283,2,T
o65720253,t10009017,2021/11/9,61367,25008484,10,F
o99832058,t10003891,2021/1/27,70400,53147983,1,F
o12922386,t10012130,2020/7/8,87562,30059231,9,T
o43367597,t10001968,2021/12/27,41113,18856725,8,T
o24417733,t10001335,2020/4/21,69325,87772326,5,T
o92683241,t10007863,2019/12/23,73588,56506420,8,F
o71763300,t10003036,2021/12/1,72439,55213853,8,F
o91019214,t10011335,2021/3/29,66965,43921484,5,T
o75690915,t10010221,2020/9/14,32902,50677919,2,T
o30229332,t10006343,2021/10/6,36111,48939935,1,F
o50020912,t10001004,2020/9/12,83188,66459311,6,F
o92477667,t10003338,2021/3/20,75994,84414715,2,F
o53308861,t10005196,2021/2/16,14835,41294473,6,F
o40310047,t10004855,2020/5/17,26041,54679809,8,T
o50902905,t10004845,2020/7/30,56218,16850159,8,T
o57312269,t10011124,2020/6/3,96799,88569053,6,T
o72131833,t10006750,2019/11/12,52546,49319056,10,T
o68068104,t10000466,2021/6/10,90593,40168896,4,F
o96271179,t10001025,2021/6/13,92158,28512838,2,T
o19622768,t10004495,2021/10/17,37192,19605802,10,F
o96215936,t10001004,2021/12/17,38338,54291186,7,F
o10729914,t10002415,2021/11/26,99390,79006821,3,T
o79540060,t10001887,2021/1/6,47813,34754168,9,F
o97440374,t10002620,2021/12/21,66514,54856537,10,F
o22520866,t10010200,2021/8/1,63078,17199197,7,F
o46661867,t10002222,2021/12/29,46386,20844404,6,F
o80110624,t10010381,2021/7/31,87844,96836649,9,F
o17379398,t10003856,2020/10/25,33542,25282980,10,T
o48064690,t10006372,2020/5/13,79034,81652711,4,T
o30263366,t10005273,2021/1/7,10886,83626758,5,F
o46686372,t10006427,2021/7/9,33117,81839542,3,T
o99825520,t10005310,2020/10/25,88012,69872667,9,T
o96002379,t10007036,2020/5/2,42612,54566218,3,T
o43548247,t10006623,2019/12/25,24547,74453453,5,T
o62800280,t10008776,2021/12/6,42786,35937307,5,F
o70741766,t10003927,2021/5/2,57349,74743553,1,T
o84128648,t10003360,2020/10/13,69628,21078820,10,F
o38662215,t10004689,2020/10/23,98121,84828340,6,F
o95048610,t10001996,2021/5/30,31134,30175240,1,T
o90511194,t10000985,2020/5/8,90419,51793766,7,F
o13358279,t10000761,2020/4/21,39468,43560480,8,T
o14529194,t10004685,2021/1/21,43168,17508300,7,F
o15762715,t10007990,2019/11/14,43044,81536448,7,T
o43399135,t10001230,2021/5/21,43842,94669075,10,T
o98197160,t10009192,2020/5/21,56985,19459936,10,F
o94988015,t10006755,2021/9/17,67737,63929193,1,F
o28638154,t10006502,2021/7/5,92113,26923050,5,F
o95958264,t10000736,2021/11/21,63706,62576829,8,T
o67358735,t10002546,2020/4/5,19530,25658856,6,T
o60464682,t10011604,2021/7/10,85055,83275792,1,F
o24370327,t10001181,2020/9/6,58710,25880438,8,F
o86033282,t10006202,2021/1/14,48618,19619746,9,T
o45968237,t10011829,2020/4/9,16513,91060549,10,F
o80928400,t10005561,2021/10/2,26766,33111373,1,F
o75037139,t10008650,2021/8/17,24377,38743936,8,F
o42907262,t10011854,2020/3/13,38057,77236120,8,T
o13884584,t10003557,2021/6/16,60564,69897203,3,F
o71907202,t10005164,2020/8/12,67857,76235485,5,T
o61602270,t10007456,2021/12/15,59781,93894489,9,T
o72961937,t10012341,2020/2/22,55918,49237272,1,T
o21053954,t10003599,2019/11/25,98688,23563530,1,F
o51169108,t10002417,2021/8/7,35076,64366186,5,F
o73468852,t10002948,2021/7/26,92800,89100680,10,T
o62216642,t10011843,2020/9/20,67504,66713636,9,F
o36170030,t10003784,2020/4/25,13718,92749826,6,F
o81381477,t10011471,2020/3/19,87958,50247575,5,F
o82259016,t10002402,2020/6/13,27458,59905651,3,F
o23048890,t10001472,2019/12/24,29470,64019359,9,F
o24899068,t10012073,2020/2/11,25338,76869819,5,F
o49775395,t10002616,2020/5/27,56315,86639230,10,F
o61794505,t10004333,2021/9/12,82239,48330610,5,F
o27089501,t10009263,2021/11/23,91751,90633785,4,T
o29568029,t10009207,2021/7/24,20139,20195900,6,T
o61804534,t10001338,2020/6/30,91008,13534753,8,T
o94755724,t10000982,2021/7/19,28666,14145761,6,T
o35486280,t10000325,2020/8/8,82036,37442927,3,F
o46218221,t10000268,2021/10/19,26362,54370646,1,T
o84836871,t10012583,2020/9/17,57376,85006417,1,F
o11571283,t10008329,2019/12/12,11110,73969087,9,T
o35418991,t10009677,2020/4/21,38597,28840765,10,F
o71821664,t10012035,2021/4/23,85908,96170556,4,T
o87916220,t10012335,2021/2/28,58800,87786049,8,T
o89378633,t10009951,2021/9/17,88951,84023044,2,F
o68056903,t10004779,2021/11/1,72092,52530450,5,T
o37801048,t10000454,2020/4/14,70626,83049763,9,F
o52107692,t10006543,2021/7/12,71676,76971420,7,F
o11797786,t10009986,2020/7/19,88629,96848842,6,F
o33310048,t10008107,2019/12/10,94166,37585512,2,T
o29992995,t10008242,2021/9/7,23293,32711820,1,T
o57276476,t10009259,2021/3/18,58347,42988191,8,T
o66543531,t10006538,2020/2/3,29159,43377443,7,F
o57539320,t10002025,2020/4/23,39656,96702076,3,T
o86058625,t10011539,2021/7/15,39196,24179446,10,T
o21598818,t10002078,2020/8/19,73008,69030983,3,F
o71873636,t10000250,2020/12/18,27774,36139118,5,F
o83382177,t10010292,2019/12/18,93468,71998129,7,F
o17905963,t10004528,2021/11/6,71441,90335832,1,F
o14904271,t10003821,2021/7/8,95004,88874425,8,F
o27431870,t10011721,2020/7/12,61446,69835926,8,F
o37631310,t10004416,2020/10/22,77902,24311506,5,F
o39544211,t10000642,2020/4/10,55800,81305427,4,T
o40172982,t10002702,2021/12/3,36352,21492527,8,F
o32016223,t10004577,2020/9/27,29389,45308967,9,T
o71440605,t10003778,2020/10/31,89098,43698013,2,T
o87122784,t10000608,2021/2/17,49760,69299225,10,T
o19737333,t10009627,2019/11/21,39271,68083044,7,F
o69335739,t10000988,2019/11/25,53268,66362508,10,F
o83462546,t10009489,2021/3/31,87516,70028939,8,T
o45723066,t10010914,2021/1/14,34764,25817466,5,F
o43147515,t10004962,2021/4/26,95940,74290352,9,F
o56581345,t10004895,2021/9/9,69779,35014094,7,T
o99884357,t10003685,2019/11/14,49069,33964421,5,F
o86616294,t10008829,2020/4/16,31892,84149921,8,T
o66179673,t10008060,2021/6/16,20504,75123590,3,F
o16601809,t10001941,2020/9/4,56380,53258259,7,T
o75027096,t10002193,2021/3/24,83740,77352253,8,T
o31994663,t10007185,2020/12/2,64092,23727188,8,T
o12818722,t10008611,2021/12/19,78208,72499087,2,F
o30586437,t10003266,2019/11/29,77668,80225110,6,F
o91720539,t10005978,2021/1/14,79354,36129610,10,F
o81265555,t10005900,2021/3/9,98415,97456651,9,F
o19367785,t10011868,2019/12/16,11700,77508612,8,T
o45760816,t10012524,2021/2/10,98924,22886074,4,F
o94659434,t10005829,2021/11/30,54881,58952233,2,T
o91275872,t10004216,2020/11/29,35454,52479536,3,F
o98541765,t10006694,2021/7/23,34073,14608545,3,T
o55522194,t10010278,2020/12/11,56336,69585877,9,T
o10937741,t10002608,2020/5/31,66763,61835678,5,F
o47759137,t10006565,2020/10/17,18488,59660338,3,T
o45966142,t10011894,2021/4/1,38814,95967768,3,T
o49930770,t10004775,2019/12/20,87854,64943156,10,F
o61070599,t10000405,2020/6/5,79715,89489221,9,T
o74220269,t10007399,2020/8/16,25314,91174250,3,T
o55921522,t10000236,2020/12/25,79824,70933157,1,T
o47266558,t10004401,2020/5/30,31250,85374805,8,T
o29777886,t10003366,2021/3/3,81220,59895892,3,T
o70720128,t10006840,2020/2/17,46061,58158438,8,T
o63497567,t10000666,2021/1/26,54493,27134550,6,F
o55673963,t10005458,2021/10/20,28403,89643861,7,F
o24031244,t10007058,2020/10/10,62876,62157548,10,T
o17349944,t10011071,2021/1/5,60729,94205682,4,T
o75943102,t10007378,2020/7/15,72418,89562473,8,T
o17879549,t10003938,2020/4/13,96207,53311589,9,F
o17634181,t10007653,2021/5/10,32657,57221371,3,T
o47832136,t10004363,2020/9/29,73007,49203227,1,F
o99115302,t10005524,2021/9/27,42138,40348381,5,T
o82826294,t10009307,2020/12/5,34592,93597814,8,T
o89207809,t10011360,2019/12/5,83588,28647491,4,T
o34513361,t10001657,2021/10/25,88397,62618374,2,F
o18028552,t10000576,2021/3/10,50458,40522623,2,F
o57516888,t10004035,2020/6/28,40237,99894381,4,F
o84727452,t10002757,2020/7/24,75060,44102730,3,F
o65695790,t10007450,2021/11/26,91921,29989564,4,T
o76509910,t10009171,2019/11/10,59944,18162684,7,T
o77039320,t10001043,2020/4/3,27339,52179751,1,T
o33705867,t10000518,2021/4/19,11147,92478589,2,F
o34220634,t10012380,2020/4/4,63736,75185219,1,T
o10999493,t10003371,2020/12/5,30870,52513087,6,F
o75265129,t10006886,2020/5/22,46744,60911294,9,T
o64788813,t10006127,2021/3/22,20807,87947768,5,F
o89396937,t10011841,2021/1/10,53887,85323497,2,F
o65937461,t10009066,2021/8/21,47321,50337017,8,F
o48767077,t10002988,2020/8/26,77765,95499312,4,F
o44535804,t10008860,2020/10/2,23035,70796051,10,F
o56756946,t10008601,2021/1/12,44637,62040506,2,T
o77466683,t10010855,2020/11/1,36961,85168549,10,F
o94259929,t10008903,2020/2/13,94931,36520471,7,F
o78088020,t10008677,2020/8/20,99385,24070944,9,T
o21104286,t10002077,2020/5/1,12792,91725031,6,T
o72333800,t10001858,2019/12/17,86554,20512548,6,T
o63363382,t10004587,2020/11/22,68359,69311487,8,T
o33919199,t10002069,2021/4/15,36163,67405288,5,F
o50031706,t10011350,2020/8/27,86420,42640323,2,F
o84576229,t10004735,2020/6/22,58411,88849522,7,T
o27882041,t10006570,2019/12/27,41446,68318717,6,T
o11811340,t10001836,2020/5/7,77670,15273464,9,F
o53725291,t10011069,2020/11/20,75859,94595145,7,F
o69581484,t10010083,2020/2/8,16220,69381893,5,F
o84014872,t10001230,2020/7/1,36873,44209880,8,T
o24121285,t10006351,2020/10/28,42521,65464212,8,T
o85565596,t10001790,2021/1/5,81643,90223777,8,T
o70533718,t10006624,2021/6/27,44960,31648841,1,T
o79791514,t10011679,2020/5/28,95662,24613507,7,F
o89175418,t10005089,2021/11/13,31082,85406533,6,F
o20616155,t10006454,2020/2/15,43522,30351173,7,F
o71774878,t10009614,2021/5/20,72001,82961490,2,F
o17184876,t10011843,2020/7/22,77691,63669515,3,F
o98699430,t10009153,2020/8/10,46451,95547599,6,T
o76413704,t10003465,2021/1/25,22779,77589762,3,T
o56140861,t10003317,2021/5/22,67469,61838711,9,F
o12597814,t10010321,2019/11/30,71239,91832380,8,F
o35243099,t10001420,2020/7/19,21559,73562806,9,T
o10132616,t10009591,2021/6/17,94990,64269704,10,F
o17019498,t10010697,2021/12/22,51173,52998971,3,T
o77103977,t10001506,2020/7/6,87767,41474850,6,F
o87924208,t10003422,2021/11/14,43122,63718137,9,T
o59527770,t10003487,2021/7/17,63938,75077313,3,F
o85859891,t10009736,2021/11/29,83585,28916090,5,F
o72918242,t10010638,2021/3/20,21789,38761595,5,T
o52557270,t10007636,2021/7/10,61985,91479936,10,T
o18301659,t10005522,2021/8/30,62867,55568183,7,T
o94083345,t10011728,2020/10/16,99563,56221456,2,F
o88644698,t10011854,2021/12/17,42335,41660464,9,T
o75848808,t10000874,2021/4/20,78297,27600236,10,T
o62449711,t10001415,2021/1/13,86433,28895947,10,F
o13414701,t10011264,2020/2/27,18674,19517154,4,F
o47581011,t10002541,2021/4/6,19760,68631121,4,T
o19372249,t10010112,2021/6/8,71804,91846421,7,F
o29564156,t10009501,2021/2/8,26935,45830333,4,F
o60032324,t10010999,2021/1/12,77220,69776054,4,F
o41749571,t10012102,2020/3/31,10588,26333172,2,T
o53197448,t10004242,2020/6/21,40517,24690381,6,T
o48786462,t10003438,2020/4/26,33075,23277937,10,F
o96608151,t10003624,2019/12/5,26692,36005222,10,T
o33013004,t10002427,2021/8/9,63754,68730734,7,F
o78019456,t10002421,2020/3/9,66502,34173762,7,T
o68833897,t10009992,2021/5/16,27226,78041126,8,F
o99706554,t10000331,2020/10/21,26869,83792137,4,F
o48844322,t10000111,2021/11/15,37974,97994971,6,F
o29331964,t10008259,2020/12/10,88001,68159310,8,T
o97237128,t10002892,2021/6/30,39150,21512665,9,F
o76793974,t10009184,2021/11/21,13946,60676755,5,F
o77196658,t10008372,2021/10/31,97889,11804224,8,T
o24193866,t10003622,2019/11/15,73288,20644089,1,T
o90173166,t10010085,2020/6/12,28437,14896574,4,T
o92667736,t10005117,2020/8/3,69353,69946404,6,T
o51479865,t10007973,2021/2/26,42491,38709495,3,T
o93898944,t10004609,2021/5/20,22552,12657711,1,F
o24323902,t10000708,2021/5/23,18670,25200306,5,T
o70917265,t10006757,2021/8/15,83059,95650845,2,T
o69917153,t10008385,2021/5/13,85879,49431138,1,F
o80224882,t10001578,2020/6/8,55553,31338316,7,F
o80693300,t10006591,2021/8/4,55656,90668402,8,F
o55312200,t10004418,2020/7/21,95019,16698583,4,T
o88333965,t10000708,2020/6/3,60294,48916700,7,T
o78611310,t10011170,2021/4/20,20881,81442743,1,T
o20115502,t10004133,2021/5/30,94402,11923475,9,F
o52308720,t10002280,2020/7/25,14708,14873698,5,T
o58546213,t10009432,2021/8/26,77662,46963533,1,T
o54443344,t10009625,2020/9/4,90318,85546152,7,F
o94872443,t10001287,2020/6/18,21313,54967468,5,F
o28619803,t10006047,2021/7/7,90993,14320633,8,T
o16607122,t10009300,2021/2/14,26300,53811904,3,T
o72939462,t10000597,2021/12/18,99714,46394071,10,T
o23042441,t10009310,2020/7/12,34533,28238778,4,F
o42987724,t10011588,2020/3/28,58986,16113493,10,F
o63283833,t10001564,2020/7/12,97724,78055633,9,F
o31188399,t10001375,2020/9/3,55700,17750973,8,F
o33423531,t10010203,2020/7/26,68559,37452468,10,F
o70933243,t10008681,2020/5/6,71589,34934868,2,F
o13963592,t10011066,2021/3/20,31275,71762777,1,T
o37964315,t10008831,2020/9/6,64927,66076697,10,T
o27645731,t10012354,2021/5/11,53882,63969796,6,T
o65633306,t10002609,2021/10/9,48139,70196655,7,F
o58134415,t10006813,2020/9/15,33473,51918111,5,F
o50006038,t10011010,2020/10/4,85558,64672026,2,F
o71675329,t10001445,2020/5/3,62271,69767715,2,F
o92347152,t10011384,2021/12/9,49140,63996928,4,T
o71585483,t10010819,2020/4/25,31394,49138671,5,T
o97577095,t10001577,2020/8/15,85852,37489552,10,T
o37917439,t10006676,2021/8/12,80258,27041189,3,F
o27407136,t10003665,2021/5/11,80039,21456935,2,T
o36446179,t10008218,2020/12/11,38212,74288362,3,T
o28140183,t10003311,2020/1/9,16724,49969205,3,T
o39384852,t10002302,2020/8/29,14768,29173922,7,T
o15719328,t10001038,2020/8/9,74496,96094924,5,T
o49808552,t10003339,2019/12/3,94206,80961912,4,F
o89076617,t10008752,2020/11/16,34372,76928206,9,F
o82060741,t10009666,2020/3/29,50400,84195249,2,T
o38915621,t10001503,2020/5/24,37141,60700036,7,F
o69789345,t10011146,2021/11/29,69437,13627846,5,F
o70072617,t10009011,2020/10/29,10943,43964173,7,T
o44673973,t10007493,2021/11/2,50181,61401479,2,F
o86871296,t10007321,2021/2/24,58617,99067808,9,T
o29062242,t10007473,2020/9/7,52723,47552666,2,F
o85674165,t10004254,2021/8/7,75230,64780973,5,F
o94073253,t10000925,2020/7/25,46380,49873497,6,T
o94808335,t10009242,2020/2/18,71360,17598633,2,F
o56492509,t10005488,2021/10/18,52827,98051245,8,T
o51487500,t10000948,2020/6/11,65476,23767328,9,F
o96609254,t10006242,2021/7/7,59934,91433426,8,T
o84791934,t10011091,2020/7/28,66788,32412534,6,T
o66055387,t10009169,2020/2/18,55266,32153284,9,T
o78642422,t10000485,2021/2/1,26464,69107967,3,T
o47641676,t10001612,2021/8/3,19575,54871472,9,F
o59495369,t10005556,2021/7/30,38542,58917708,1,F
o63094305,t10001538,2020/11/18,74634,10875400,5,T
o68757561,t10011832,2020/1/9,27942,89802910,2,T
o17046075,t10001437,2020/9/3,76668,56922728,3,F
o73579542,t10007828,2020/11/17,32573,11779086,6,F
o66848067,t10003065,2021/12/22,67148,95525135,10,T
o42315519,t10008403,2019/11/27,71895,19274963,5,T
o60467475,t10002401,2021/4/24,19097,19339292,6,F
o72884866,t10005835,2020/3/18,71469,49998399,6,F
o17840765,t10008386,2020/9/29,54826,55182772,3,T
o31810411,t10007512,2021/8/2,50459,13432906,2,T
o24653177,t10003559,2020/5/20,99382,12798700,3,F
o53469777,t10004715,2020/3/4,65545,99286359,4,T
o92880124,t10007831,2021/3/7,44268,90108724,2,F
o62434002,t10010473,2021/5/14,46720,11169734,5,F
o63322714,t10004115,2021/4/14,69934,17726474,1,F
o67835256,t10005707,2020/7/2,93587,11868796,5,F
o40425938,t10000141,2021/5/5,34763,33196974,5,F
o62524062,t10011352,2021/8/18,96984,38990465,3,T
o44525214,t10010458,2021/7/13,35734,64855548,2,T
o88788479,t10003138,2020/2/6,45770,11941325,7,T
o84339778,t10006802,2020/7/5,74648,83788788,5,T
o97267797,t10001466,2020/5/25,70049,88594234,2,F
o33226635,t10006552,2019/12/10,40124,77545170,4,T
o70414002,t10007922,2020/3/30,55110,60562541,7,F
o87414209,t10003613,2020/1/16,63485,37497657,3,F
o29811564,t10012435,2021/2/12,69501,23404314,1,F
o57209021,t10011422,2020/7/4,90781,66198457,3,F
o92679420,t10004114,2020/2/6,82378,54840281,4,F
o82418901,t10011956,2020/6/15,36643,17650824,9,T
o64411138,t10012221,2020/6/14,35514,25574565,1,F
o18453561,t10010509,2020/8/29,56535,15786954,5,F
o12688689,t10000091,2021/9/27,81385,27423054,7,F
o78037631,t10012187,2020/7/23,77928,98474382,6,F
o98822950,t10011540,2020/4/24,62430,79923945,6,T
o19287748,t10004151,2021/3/1,42104,18588861,3,T
o65493953,t10005171,2020/8/15,80057,14536665,5,F
o48518056,t10012286,2021/8/27,97882,12591803,8,F
o31308835,t10004359,2021/11/14,27599,64024703,3,F
o69468826,t10010833,2021/9/8,70037,56360034,6,F
o95147383,t10006591,2020/4/17,65103,37548597,4,T
o76327903,t10001505,2020/6/3,96243,32501845,8,T
o52648094,t10011996,2020/5/29,40288,22390714,9,F
o56243913,t10009025,2020/6/10,85699,95213132,6,T
o85943600,t10008831,2021/10/25,14443,47874340,4,T
o65506890,t10008393,2020/8/10,52639,75124809,1,T
o71642404,t10007717,2021/5/26,52499,17868790,9,T
o65098729,t10001463,2020/4/5,90135,53754340,4,F
o43217414,t10008976,2021/3/3,25700,72348755,7,F
o10572226,t10008077,2020/6/11,30439,17990873,3,T
o54952590,t10010354,2020/12/29,81404,26215600,3,T
o34456169,t10006368,2020/10/28,87319,67374750,2,T
o36818263,t10003096,2019/11/20,27682,86308749,2,T
o31788803,t10010238,2020/10/14,53320,68260666,4,F
o12376842,t10008047,2020/8/25,75273,72814850,7,F
